공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
파주등기소(시법원) 신축공사,철근콘크리트조 지하 1층~지상 4층.,"1,892.24㎡","2,129.3㎡",465.61㎡,322.98㎡,21.87%,88.87%,4.5m,16.1m,40대,경기도 파주시,2017.11,착공일로부터 540 일,,"1,892.24 ㎡","3,833,733,140 원","2,026,029 원/㎡",
남양주경찰서 청사 신축공사,철근콘크리트조 지하 2층~지상 6층.,"15,451㎡","17,480㎡","3,227㎡","4,516㎡",18.46%,88.39%,3.9m,24m,206대,경기도 남양주시,2017.11,착공일로부터 720 일,공공업무시설(경찰서),"15,451 ㎡","31,751,853,091 원","2,055,003 원/㎡",
군산세무서 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"5,189.82㎡","7,029.4㎡","1,481.39㎡","1,955.46㎡",21.07%,56.77%,3.9m,19.8m,104대,전라북도 군산시,2017.11,착공일로부터 480 일,공공업무시설,"5,189.82 ㎡","11,354,172,726 원","2,187,778 원/㎡",
국민건강보험공단 진천지사 사옥 신축공사,철근콘크리트조 지하 0층~지상 3층.,"1,444.63㎡","3,307㎡",567.95㎡,0㎡,17.17%,43.68%,3.9m,12.55m,41대,충청북도 진천군,2017.10,착공일로부터 240 일,공공업무시설,"1,444.63 ㎡","4,768,249,252 원","3,300,672 원/㎡",
구미경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"12,806.57㎡","11,970㎡","3,371.23㎡","1,950.96㎡",28.16%,92.64%,4.2m,23.2m,175대,경상북도 구미시,2017.10,착공일로부터 690 일,공공업무시설,"12,806.57 ㎡","25,039,582,702 원","1,955,214 원/㎡",
수도권기상청 청사 신축공사,철근콘크리트조 지하 0층~지상 3층.,"2,519.61㎡","18,067㎡",871.92㎡,0㎡,4.83%,13.95%,3.9m,13.69m,53대,경기도 수원시 권선구,2017.10,착공일로부터 365 일,공공업무시설,"2,519.61 ㎡","6,572,486,165 원","2,608,533 원/㎡",
헌법재판소 청사증축 사업,철근콘크리트조 지하 3층~지상 2층.,"7,800㎡","16,808.6㎡","1,362.21㎡","5,269.31㎡",8.1%,15.08%,4m,11.65m,121대,서울특별시 종로구,2017.10,착공일로부터 720 일,공공업무시설,"7,800 ㎡","15,771,677,714 원","2,022,010 원/㎡",..
보령해양경찰서 청사신축공사,철근콘크리트조 지하 1층~지상 5층.,"6,413.23㎡","19,800㎡","2,012.28㎡","1,591.96㎡",10.16%,28.31%,4m,20.15m,99대,충청남도 보령시,2017.09,착공일로부터 540 일,업무시설(공공업무시설),"6,413.23 ㎡","13,105,116,103 원","2,043,450 원/㎡",
농림식품기술기획평가원 신청사 건립공사,철근콘크리트조 지하 1층~지상 4층.,"3,841.52㎡","5,425.2㎡","1,262.08㎡","1,384.97㎡",23.26%,66.16%,3.9m,16.95m,53대,전라남도 나주시,2017.09,착공일로부터 360 일,일반청사,"3,841.52 ㎡","9,218,668,999 원","2,399,745 원/㎡",
김해세무서 밀양지서 신축공사,철근콘크리트조 지하 1층~지상 3층.,"1,768.83㎡","4,102㎡",661.01㎡,615.3㎡,16.11%,39.19%,3.9m,13.6m,69대,경상남도 밀양시,2017.08,착공일로부터 365 일,업무시설(공공업무시설),"1,768.83 ㎡","4,045,568,230 원","2,287,144 원/㎡",
광역수사대 청사 신축공사,철근콘크리트조 지하 3층~지상 7층.,"12,257㎡","3,049.21㎡","1,414.98㎡",815.15㎡,46.4%,249.17%,4.1m,34.77m,80대,서울특별시 마포구,2017.08,착공일로부터 730 일,업무시설(공공청사),"12,257 ㎡","26,303,987,200 원","2,146,038 원/㎡",
한국국토정보공사 제주지역본부 사옥 신축공사,철근콘크리트조 지하 2층~지상 8층.,"4,210.91㎡",860.7㎡,514.3㎡,142.7㎡,59.75%,323.95%,3.9m,36.85m,37대,제주특별자치도 제주시,2017.08,착공일로부터 730 일,공공업무시설,"4,210.91 ㎡","9,528,325,116 원","2,262,771 원/㎡",
건강보험심사평가원 2사옥 건립공사,철근콘크리트조 지하 1층~지상 9층.,"52,592.24㎡","38,385.1㎡","10,694.91㎡","8,718.35㎡",27.86%,137.01%,4.5m,52.75m,493대,강원도 원주시,2017.08,착공일로부터 690 일,공공업무시설,"52,592.24 ㎡","117,106,544,187 원","2,226,689 원/㎡",
경찰특공대 청사 신축공사,철근콘크리트조 지하 2층~지상 5층.,"13,788.78㎡","230,507㎡","2,409.6㎡",0㎡,1.05%,4.93%,0m,25.73m,126대,서울특별시 서초구,2017.07,착공일로부터 990 일,업무시설(공공업무시설),"13,788.78 ㎡","21,416,454,702 원","1,553,180 원/㎡",
세종시선거관리위원회 청사 신축공사,철골조 지하 1층~지상 4층.,"2,426.39㎡","2,393㎡",699.6㎡,493.37㎡,29.24%,97.82%,4m,21.9m,27대,세종특별자치시,2017.06,착공일로부터 420 일,공공업무시설,"2,426.39 ㎡","6,909,748,318 원","2,847,748 원/㎡",
