영업중,인허가일자_년도,인허가일자_월,인허가일자_일,지역,영업상태구분코드,상세영업상태코드,시설면적,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부
1, 2005, 01, 12,광주광역시 동구,1,13,129.58,6,1,Y,Y,Y,Y,Y,Y
1, 2005, 04, 27,광주광역시 동구,1,13,115.73,10,4,N,N,N,N,N,N
1, 2006, 03, 02,광주광역시 동구,1,13,82.24,8,4,N,N,N,Y,N,N
1, 2001, 04, 18,광주광역시 동구,1,13,190.87,21,4,N,N,N,Y,N,N
1, 2001, 04, 23,광주광역시 동구,1,13,117.88,4,4,N,N,N,N,N,N
1, 2001, 07, 16,광주광역시 동구,1,13,115.33,4,1,N,N,N,Y,N,N
1, 2016, 01, 22,광주광역시 동구,1,13,215.03,26,26,N,Y,Y,Y,N,Y
1, 2016, 05, 03,광주광역시 동구,1,13,197.48,20,20,N,N,N,Y,N,N
1, 2009, 07, 29,광주광역시 북구,1,13,117.14,4,0,N,N,N,N,N,N
1, 2009, 08, 14,광주광역시 북구,1,13,113.06,4,4,N,N,N,N,N,N
1, 2001, 08, 27,광주광역시 북구,1,13,94.8,5,1,N,N,N,Y,N,N
1, 2001, 12, 14,광주광역시 북구,1,13,145.21,7,1,N,N,N,N,N,N
1, 2002, 01, 17,광주광역시 북구,1,13,123.2,5,0,N,N,N,N,N,N
1, 2009, 09, 07,광주광역시 북구,1,13,83.89,3,0,N,N,N,N,N,N
1, 2009, 10, 28,광주광역시 북구,1,13,89.94,4,4,N,N,N,N,N,N
1, 1999, 07, 02,광주광역시 북구,1,13,110.7,7,2,N,N,N,N,N,N
1, 1999, 07, 07,광주광역시 북구,1,13,84.6,5,1,N,N,N,Y,N,N
1, 1999, 07, 07,광주광역시 북구,1,13,116.7,5,1,N,N,N,N,N,N
1, 2002, 04, 09,대구광역시 수성구,1,13,155.0,8,3,N,N,N,Y,N,N
1, 2003, 06, 17,대구광역시 수성구,1,13,136.2,6,4,N,N,N,N,N,N
1, 2003, 07, 07,대구광역시 수성구,1,13,115.2,6,4,N,N,N,N,N,N
1, 2002, 10, 07,대구광역시 수성구,1,13,168.34,6,4,N,N,N,N,N,N
1, 2002, 11, 06,대구광역시 수성구,1,13,295.28,7,4,N,N,N,N,N,N
